"Name","MedianAge","MedianAge2000","Population","AnnualPopulationGrowth","GenderInequalityIndex","AdolescentFertilityRate","GrossNationalIncomePerCapita","MeanYearsSchooling","LifeExpectancyAtBirth","GDP","number","continent"
"Solomon Islands",19.9,18.8,0.6,2.5,NA,64.6,2172,4.5,68.2,1.4,"143","East Asia and the Pacific"
"Sao Tome and Principe",19.3,17.8,0.2,2,NA,55.4,1864,4.7,64.9,0.3,"144","Sub-Saharan Africa"
"Kenya",18.5,17.4,42.7,2.7,130,98.1,1541,7,57.7,62.7,"145","Sub-Saharan Africa"
"Bangladesh",24.2,20.8,152.4,1.3,111,68.2,1785,4.8,69.2,236,"146","East Asia and the Pacific"
"Pakistan",21.7,19,180,1.8,123,28.1,2566,4.9,65.7,428.4,"147","Arab States"
"Angola",16.6,16.1,20.2,2.7,NA,148.1,4812,4.7,51.5,102,"148","Sub-Saharan Africa"
"Myanmar",28.2,24.7,48.7,0.8,80,12,1817,3.9,65.7,NA,"149","East Asia and the Pacific"
"Cameroon",19.3,18.2,20.5,2.1,137,115.1,2114,5.9,52.1,41.9,"150","Sub-Saharan Africa"
"Madagascar",18.2,17.4,21.9,2.8,NA,122.7,828,5.2,66.9,18.2,"151","Sub-Saharan Africa"
"Tanzania (United Republic of)",17.5,17.4,47.7,3.1,119,128.7,1383,5.1,58.9,59.8,"152","Sub-Saharan Africa"
"Nigeria",18.5,18.1,166.6,2.5,NA,111.3,2102,5.2,52.3,360.8,"153","Sub-Saharan Africa"
"Senegal",17.8,17,13.1,2.6,115,89.7,1653,4.5,59.6,22.2,"154","Sub-Saharan Africa"
"Mauritania",19.8,18.4,3.6,2.2,139,71.3,2174,3.7,58.9,8,"155","Arab States"
"Papua New Guinea",20.4,19.6,7.2,2.2,134,62,2386,3.9,63.1,16.6,"156","East Asia and the Pacific"
"Nepal",21.4,19.2,31,1.7,102,86.2,1137,3.2,69.1,33.6,"157","East Asia and the Pacific"
"Lesotho",20.3,18.6,2.2,1,113,60.8,1879,5.9,48.7,3.3,"158","Sub-Saharan Africa"
"Togo",19.7,18,6.3,2,122,54.3,928,5.3,57.5,5.6,"159","Sub-Saharan Africa"
"Yemen",17.4,15.5,25.6,3,148,66.1,1820,2.5,65.9,51.1,"160","Arab States"
"Haiti",21.5,19.1,10.3,1.3,127,41.3,1070,4.9,62.4,10.5,"161","Latin America and the Caribbean"
"Uganda",15.7,15.6,35.6,3.1,110,126.4,1168,4.7,54.5,41,"162","Sub-Saharan Africa"
"Zambia",16.7,17.1,13.9,3,136,138.5,1358,6.7,49.4,19.2,"163","Sub-Saharan Africa"
"Djibouti",21.4,18.9,0.9,1.9,NA,19.5,2350,3.8,58.3,NA,"164","Arab States"
"Gambia",17.8,16.9,1.8,2.7,128,66.9,1731,2.8,58.8,3.3,"165","Arab States"
"Benin",17.9,17.1,9.4,2.7,135,97,1439,3.2,56.5,13,"166","Arab States"
"Rwanda",18.7,16.9,11.3,2.9,76,35.5,1147,3.3,55.7,12,"167","Sub-Saharan Africa"
"Côte d'Ivoire",19.2,18.7,20.6,2.2,138,105.7,1593,4.2,56,31.9,"168","Sub-Saharan Africa"
"Comoros",18.9,18.5,0.8,2.5,NA,51.1,986,2.8,61.5,0.7,"169","Arab States"
"Malawi",16.9,17,15.9,3.2,124,105.6,774,4.2,54.8,12.4,"170","Sub-Saharan Africa"
"Sudan",19.7,18.6,35,2.4,129,53,1848,3.1,61.8,83.8,"171","Arab States"
"Zimbabwe",19.3,18.2,13,2.2,116,53.4,424,7.2,52.7,NA,"172","Sub-Saharan Africa"
"Ethiopia",18.7,17,86.5,2.1,NA,48.3,1017,2.2,59.7,83,"173","Sub-Saharan Africa"
"Liberia",18.2,17.9,4.2,2.6,143,123,480,3.9,57.3,2.1,"174","Sub-Saharan Africa"
"Afghanistan",16.6,15.9,33.4,3.1,147,99.6,1000,3.1,49.1,37.2,"175","Arab States"
"Guinea-Bissau",19,18.2,1.6,2.1,NA,96.2,1042,2.3,48.6,1.7,"176","Sub-Saharan Africa"
"Sierra Leone",18.4,18.5,6.1,2.1,139,104.2,881,3.3,48.1,4.6,"177","Sub-Saharan Africa"
"Burundi",20.2,16.7,8.7,1.9,98,20.9,544,2.7,50.9,4.6,"178","Sub-Saharan Africa"
"Guinea",18.3,17.7,10.5,2.5,NA,133.7,941,1.6,54.5,10.1,"179","Sub-Saharan Africa"
"Central African Republic",19.4,18.7,4.6,2,142,98.6,722,3.5,49.1,3.2,"180","Sub-Saharan Africa"
"Eritrea",19,17.1,5.6,2.9,NA,53.7,531,3.4,62,2.8,"181","Arab States"
"Mali",16.3,16.3,16.3,3,141,168.9,853,2,51.9,15.3,"182","Arab States"
"Burkina Faso",17.1,16.5,17.5,3,131,117.4,1202,1.3,55.9,19.5,"183","Sub-Saharan Africa"
"Chad",17.1,16.9,11.8,2.6,NA,138.1,1258,1.5,49.9,15.5,"184","Arab States"
"Mozambique",17.8,17.9,24.5,2.2,125,124.4,906,1.2,50.7,20.6,"185","Sub-Saharan Africa"
"Congo (Democratic Republic of the)",16.7,16,69.6,2.6,144,170.6,319,3.5,48.7,22.3,"186","Sub-Saharan Africa"
"Niger",15.5,15.8,16.6,3.5,146,193.6,701,1.4,55.1,10.3,"187","Arab States"
"Korea (Democratic People's Rep. of)",32.9,29.9,24.6,0.4,NA,0.6,NA,NA,69,NA,"188","East Asia and the Pacific"
"Marshall Islands",NA,NA,0.1,1.6,NA,37.7,NA,NA,72.3,NA,"189","East Asia and the Pacific"
"Monaco",NA,NA,0,0,NA,1.5,NA,NA,82.3,NA,"190","Europe and Central Asia"
"Nauru",NA,NA,0,0.6,NA,23,NA,NA,80,NA,"191","East Asia and the Pacific"
"San Marino",NA,NA,0,0.6,NA,2.5,NA,NA,81.9,NA,"192","Europe and Central Asia"
"Somalia",17.5,18,9.8,2.6,NA,68,NA,NA,51.5,NA,"193","Arab States"
"South Sudan",NA,NA,10.7,3.2,NA,NA,NA,NA,NA,NA,"194","Arab States"
"Tuvalu",NA,NA,0,0.2,NA,21.5,NA,NA,67.5,NA,"195","East Asia and the Pacific"
